StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,pol_affiliation_1,driving_ability_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,moderators_DO
2023-04-06 16:05:06,2023-04-06 16:06:47,0,70.229.208.176,100,101,1,2023-04-06 16:06:48,R_2wcwWSXB3ok3Geu,,,,,38.0004,-121.3105,anonymous,EN,1,2,2,0,0,10.793,0,0,0,10.664,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,0,0,42,1,,24,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:04:37,2023-04-06 16:07:03,0,76.185.177.68,100,145,1,2023-04-06 16:07:03,R_2VHA3tT5lD7c5m0,,,,,29.4247,-98.4621,anonymous,EN,1,2,2,0,0,14.975,0,0,0,13.322,0,97,7,97,3,75,,,,,,,,,,,,,,,1,1,22,75,13,1,,28,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:02:24,2023-04-06 16:07:09,0,67.182.64.231,100,285,1,2023-04-06 16:07:09,R_10I6Ax33HB37hsw,,,,,38.581,-121.4939,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,58.967,0,0,0,13.085,0,100,0,10,100,5,0,2,1,90,50,90,1,,24,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:04:17,2023-04-06 16:07:18,0,73.223.236.18,100,180,1,2023-04-06 16:07:18,R_3JqIh9T6KMoLnGM,,,,,37.3177,-121.938,anonymous,EN,1,2,2,2.065,7.798,34.511,13,0,0,11.831,0,90,50,100,80,60,,,,,,,,,,,,,,,1,1,50,50,25,1,,21,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:05:12,2023-04-06 16:07:19,0,174.161.75.61,100,127,1,2023-04-06 16:07:20,R_3MfIGJDd6TDlJBx,,,,,35.958,-83.9172,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,15.044,0,0,0,12.307,0,100,0,78,100,12,3,2,1,0,100,82,3,,28,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:03:55,2023-04-06 16:07:25,0,107.205.128.173,100,210,1,2023-04-06 16:07:26,R_3jfjMt5klE2tRVd,,,,,29.9481,-90.207,anonymous,EN,1,2,2,5.459,19.452,21.522,2,0,0,11.456,0,100,0,100,82,5,,,,,,,,,,,,,,,1,1,61,72,20,2,,50,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:03:49,2023-04-06 16:07:26,0,100.6.49.29,100,216,1,2023-04-06 16:07:26,R_2w02CrEFHlTCdxl,,,,,40.3767,-79.8112,anonymous,EN,1,2,2,0,0,56.584,0,0,0,11.634,0,100,10,100,0,12,,,,,,,,,,,,,,,1,1,100,100,31,1,,23,1,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:03:31,2023-04-06 16:07:38,0,45.24.66.32,100,246,1,2023-04-06 16:07:39,R_3ff0waLR4tfY1g8,,,,,32.7691,-96.6053,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,17.271,0,0,0,11.173,0,100,0,0,100,3,3,2,2,30,97,0,1,,32,1,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:02:43,2023-04-06 16:07:49,0,217.180.201.105,100,305,1,2023-04-06 16:07:49,R_3GeTTGNsCXJBY2A,,,,,38.0052,-84.423,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,13.201,0,0,0,10.792,0,95,5,0,85,50,75,2,1,44,50,26,1,,44,7,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:03:53,2023-04-06 16:08:08,0,130.126.255.86,100,255,1,2023-04-06 16:08:09,R_2D5nd5av5xctUnb,,,,,40.112,-88.2365,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,22.893,0,0,0,13.942,0,91,10,0,91,62,61,2,1,8,69,29,2,,23,4,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:03:27,2023-04-06 16:08:26,0,74.66.201.129,100,299,1,2023-04-06 16:08:27,R_1LCxKDxn2cJPBdf,,,,,40.7123,-74.0068,anonymous,EN,1,2,2,0,0,34.6,0,0,0,15.203,0,100,5,100,65,5,,,,,,,,,,,,,,,1,1,50,85,70,1,,46,2,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:04:27,2023-04-06 16:08:30,0,166.205.159.126,100,243,1,2023-04-06 16:08:30,R_3n6gf1KJGe8n2IA,,,,,26.2681,-80.2092,anonymous,EN,1,2,2,1.379,31.734,34.114,3,0,0,19.455,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,10,50,0,1,,30,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:05:06,2023-04-06 16:08:35,0,24.116.143.254,100,209,1,2023-04-06 16:08:36,R_1hJVDyMCqi0EWNL,,,,,43.6138,-116.3972,anonymous,EN,1,2,2,0,0,19.812,0,0,0,14.042,0,85,0,100,75,29,,,,,,,,,,,,,,,1,1,21,50,38,2,,47,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:03:30,2023-04-06 16:08:36,0,50.158.223.165,100,306,1,2023-04-06 16:08:36,R_2tLQc4XiOwkw3VO,,,,,36.1214,-115.141,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,30.689,0,0,0,29.584,0,100,0,5,100,10,5,2,1,49,70,60,1,,60,3,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:03:25,2023-04-06 16:08:49,0,67.163.139.211,100,324,1,2023-04-06 16:08:50,R_cDdxiZF7RNTo34J,,,,,40.4047,-80.0132,anonymous,EN,1,2,2,,,,,,,,,,,,,,9.941,9.941,57.541,1,0,0,19.476,0,100,1,50,100,20,7,2,1,0,45,0,2,,55,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:04:49,2023-04-06 16:08:52,0,104.231.143.64,100,242,1,2023-04-06 16:08:52,R_RVlGWdLIOMz5uXT,,,,,40.5088,-82.9299,anonymous,EN,1,2,2,3.608,34.421,35.559,4,0,0,15.143,0,92,9,100,100,82,,,,,,,,,,,,,,,1,1,50,83,40,1,,36,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:04:36,2023-04-06 16:08:52,0,71.206.192.29,100,255,1,2023-04-06 16:08:52,R_XoYs3eu2lvJnz21,,,,,40.1502,-79.8792,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,24.659,0,0,0,11.401,0,100,0,0,100,5,10,1,1,0,20,70,4,nonbinary,24,1,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:04:16,2023-04-06 16:08:55,0,70.161.171.209,100,278,1,2023-04-06 16:08:55,R_2xMjOfUaksYA9MW,,,,,37.1538,-76.539,anonymous,EN,1,2,2,6.628,19.065,25.05,2,0,0,11.283,0,100,0,100,82,50,,,,,,,,,,,,,,,1,1,16,93,71,2,,46,1,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:04:08,2023-04-06 16:09:01,0,76.113.112.174,100,292,1,2023-04-06 16:09:01,R_R32WgQnsLkDVJol,,,,,32.2333,-107.7453,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,17.933,0,0,0,29.038,0,100,0,20,100,5,5,2,1,15,50,75,1,,35,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:06:47,2023-04-06 16:09:05,0,50.186.133.161,100,138,1,2023-04-06 16:09:06,R_3qNCDCU1UcGh9PK,,,,,38.8865,-77.0911,anonymous,EN,1,2,2,1.738,21.42,21.715,4,0,0,10.849,0,70,9,92,40,62,,,,,,,,,,,,,,,1,1,77,55,44,1,,33,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:02:56,2023-04-06 16:09:08,0,184.91.127.17,100,372,1,2023-04-06 16:09:09,R_2c16LOXkevHbNW4,,,,,28.6524,-81.4897,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,20.035,0,0,0,43.301,0,100,0,0,100,0,25,2,1,0,50,0,2,,44,1,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:02:53,2023-04-06 16:09:09,0,50.200.240.158,100,375,1,2023-04-06 16:09:09,R_2tl48tmRO1z2WHD,,,,,36.6808,-121.6164,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,22.63,0,0,0,30.979,0,77,11,9,82,15,6,2,2,50,7,50,2,,25,6,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:31:51,2023-04-06 16:09:10,0,68.101.183.23,100,2239,1,2023-04-06 16:09:10,R_3JxdZL32zTnvVKO,,,,,33.1432,-117.1666,anonymous,EN,1,2,2,,,,,,,,,,,,,,40.803,40.803,64.445,1,0,0,74.88,0,38,75,53,88,66,75,2,1,79,87,30,1,,34,4,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:04:56,2023-04-06 16:09:14,0,72.135.247.90,100,257,1,2023-04-06 16:09:14,R_1qV8YyDKaAknuam,,,,,43.1604,-88.1173,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,26.307,0,0,0,18.414,0,95,14,25,95,15,15,2,1,10,85,55,2,,41,7,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:06:20,2023-04-06 16:09:28,0,71.34.220.111,100,187,1,2023-04-06 16:09:28,R_2VpST3owfed3QRr,,,,,39.2171,-95.4383,anonymous,EN,1,2,2,0,0,13.932,0,0,0,11.47,0,58,52,74,66,62,,,,,,,,,,,,,,,1,1,50,100,66,1,,32,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:01:34,2023-04-06 16:09:33,0,75.170.129.46,100,479,1,2023-04-06 16:09:34,R_3ix857a2SCKDwNL,,,,,36.4871,-76.1146,anonymous,EN,1,2,2,,,,,,,,,,,,,,18.061,43.242,44.301,2,0,0,15.55,0,100,0,0,100,50,6,2,1,65,50,0,2,,60,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:02:29,2023-04-06 16:09:35,0,73.184.197.215,100,425,1,2023-04-06 16:09:35,R_27OGQTFeJhxBtBo,,,,,33.9794,-84.3459,anonymous,EN,1,2,2,10.2,10.2,65.1,1,0,0,12.673,0,88,20,89,31,60,,,,,,,,,,,,,,,1,1,34,50,10,2,,26,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:04:37,2023-04-06 16:09:36,0,104.222.30.25,100,299,1,2023-04-06 16:09:36,R_2qmAvoMRLEa3O1n,,,,,38.5559,-121.7391,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,33.633,0,0,0,12.328,0,100,0,0,100,0,0,2,1,45,52,65,1,,49,5,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:01:42,2023-04-06 16:09:36,0,67.42.147.246,100,473,1,2023-04-06 16:09:36,R_CmqWUqZ1P4vVDoJ,,,,,45.5472,-122.6417,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,26.128,0,0,0,16.695,0,90,0,20,0,0,0,2,1,0,80,3,2,,32,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:07:16,2023-04-06 16:09:38,0,24.26.51.91,100,141,1,2023-04-06 16:09:38,R_1eraw9mRImB4gFh,,,,,38.2539,-85.76,anonymous,EN,1,2,2,0,0,26.077,0,0,0,12.606,0,95,14,95,55,31,,,,,,,,,,,,,,,1,1,71,40,26,1,,35,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:06:19,2023-04-06 16:09:40,0,108.202.77.206,100,200,1,2023-04-06 16:09:41,R_2pJKyW5DCRw3YN8,,,,,38.1043,-122.2442,anonymous,EN,1,2,2,0,0,26.037,0,0,0,28.192,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,100,71,50,1,,48,1,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:07:11,2023-04-06 16:09:50,0,99.85.47.64,100,159,1,2023-04-06 16:09:51,R_33ls2Mrkgb13Q2G,,,,,35.5825,-82.6115,anonymous,EN,1,2,2,,,,,,,,,,,,,,15.378,15.378,16.633,1,0,0,12.479,0,99,0,0,91,92,0,2,1,10,50,6,2,,31,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:06:32,2023-04-06 16:09:56,0,97.113.26.110,100,204,1,2023-04-06 16:09:57,R_2SjZTYOVCyUYZ5x,,,,,47.6348,-122.3451,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,17.677,0,0,0,11.247,0,100,0,13,68,0,3,2,1,3,39,0,2,,36,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:08:17,2023-04-06 16:10:07,0,68.119.80.80,100,109,1,2023-04-06 16:10:07,R_dbSpeqAN78t8eLn,,,,,32.5484,-85.4682,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,11.463,0,0,0,12.55,0,87,8,12,91,14,18,2,1,11,60,35,2,,22,3,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:07:53,2023-04-06 16:10:13,0,76.14.108.132,100,139,1,2023-04-06 16:10:13,R_11XdbLXkjDFKJP0,,,,,37.6538,-122.4257,anonymous,EN,1,2,2,0,0,25.082,0,0,0,11.172,0,87,10,91,68,30,,,,,,,,,,,,,,,1,1,50,50,89,3,,30,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:07:51,2023-04-06 16:10:14,0,73.24.134.112,100,142,1,2023-04-06 16:10:14,R_UF5rsdH2E6FFPOh,,,,,32.2163,-110.9241,anonymous,EN,1,2,2,0,0,30.341,0,0,0,10.988,0,54,84,81,82,100,,,,,,,,,,,,,,,1,1,3,56,21,1,,,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:06:03,2023-04-06 16:10:17,0,69.138.82.101,100,254,1,2023-04-06 16:10:18,R_1Q40JQ7250FBo46,,,,,38.8418,-76.9189,anonymous,EN,1,2,2,0,0,25.001,0,0,0,14.889,0,80,100,80,70,20,,,,,,,,,,,,,,,1,1,20,0,0,1,,35,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:07:06,2023-04-06 16:10:23,0,173.73.137.146,100,197,1,2023-04-06 16:10:24,R_pADWVRShGLWdDLH,,,,,38.8865,-77.0911,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,12.059,0,0,0,14.704,0,85,10,25,90,10,25,2,1,75,60,30,1,,24,5,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:06:56,2023-04-06 16:10:31,0,98.127.137.72,100,215,1,2023-04-06 16:10:32,R_vNoUU3RZg2vOhUd,,,,,46.6099,-112.0244,anonymous,EN,1,2,2,0,0,18.397,0,0,0,12.099,0,100,15,100,40,50,,,,,,,,,,,,,,,1,1,70,20,20,1,,51,1,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:05:17,2023-04-06 16:10:38,0,174.240.19.129,100,321,1,2023-04-06 16:10:39,R_3JJWDjUTNanwkKC,,,,,33.4512,-112.0876,anonymous,EN,1,2,2,9.012,9.012,20.054,1,10.489,10.489,11.045,1,95,0,100,11,13,,,,,,,,,,,,,,,1,1,85,54,41,2,,56,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:05:55,2023-04-06 16:10:38,0,68.32.41.142,100,283,1,2023-04-06 16:10:39,R_bOsNwBvtZjpC6M9,,,,,42.3088,-83.1173,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,21.913,0,0,0,11.48,0,95,22,5,95,62,31,2,1,40,70,33,1,,36,1,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:07:52,2023-04-06 16:10:39,0,174.72.231.141,100,166,1,2023-04-06 16:10:39,R_33qAmrZP0mpNyNP,,,,,36.175,-115.1372,anonymous,EN,1,2,2,0,0,33.587,0,0,0,10.899,0,100,4,100,6,26,,,,,,,,,,,,,,,1,1,50,56,9,1,,36,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:08:01,2023-04-06 16:10:40,0,206.211.154.121,100,158,1,2023-04-06 16:10:40,R_3JaqvFfy9Pf1t4J,,,,,33.7871,-117.8821,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,15.234,0,0,0,11.458,0,100,0,0,100,40,30,2,1,40,50,50,2,,20,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:06:04,2023-04-06 16:10:45,0,73.202.123.171,100,280,1,2023-04-06 16:10:46,R_29mq9bM2JcCJm4D,,,,,38.4561,-122.6401,anonymous,EN,1,2,2,42.346,61.15,74.86,2,22.933,22.933,24.15,1,100,5,100,20,10,,,,,,,,,,,,,,,1,1,5,34,40,1,,48,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 16:05:02,2023-04-06 16:10:47,0,75.225.130.226,100,344,1,2023-04-06 16:10:48,R_Dqsd84e8orOoXYd,,,,,35.2135,-80.8218,anonymous,EN,1,2,2,,,,,,,,,,,,,,6.032,34.848,35.784,4,2.126,2.126,20.204,1,89,11,50,89,29,50,2,1,50,51,65,1,,43,4,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:08:28,2023-04-06 16:10:59,0,174.56.244.237,100,151,1,2023-04-06 16:11:00,R_2SJHiUsgb6N1eL9,,,,,33.6309,-82.2856,anonymous,EN,1,2,2,,,,,,,,,,,,,,14.97,14.97,16.728,1,0,0,11.202,0,100,0,0,64,0,0,1,1,0,100,19,2,,37,4,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:08:12,2023-04-06 16:11:00,0,172.56.249.162,100,168,1,2023-04-06 16:11:00,R_3lrelvwsiHtcDw1,,,,,39.7536,-86.1935,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,21.985,0,0,0,13.137,0,84,30,25,100,0,17,2,1,78,74,39,1,,25,3,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 16:07:44,2023-04-06 16:11:20,0,192.180.245.196,100,215,1,2023-04-06 16:11:21,R_1FffTDS3Qeps4wg,,,,,39.9418,-83.8357,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,12.324,0,0,0,39.928,0,100,0,0,100,0,0,2,1,15,66,60,1,,40,1,,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:02:24,2023-04-06 16:11:23,0,174.104.40.18,100,538,1,2023-04-06 16:11:24,R_1hGuLyOvzqGiB0n,,,,,42.0753,-80.0671,anonymous,EN,1,2,2,21.867,68.028,69.638,3,0,0,32.597,0,75,50,75,50,50,,,,,,,,,,,,,,,1,1,100,81,30,2,,35,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:04:54,2023-04-06 16:11:27,0,73.152.138.33,100,392,1,2023-04-06 16:11:28,R_1F9rzQHBt82VM2S,,,,,38.4077,-82.4405,anonymous,EN,1,2,2,,,,,,,,,,,,,,44.401,44.401,45.817,1,0,0,23.128,0,100,0,0,100,0,0,2,1,55,90,20,2,,48,3,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 16:07:52,2023-04-06 16:11:29,0,108.34.254.161,100,216,1,2023-04-06 16:11:29,R_RQayTPGwerK2EF3,,,,,41.8307,-71.3982,anonymous,EN,1,2,2,0,0,31.204,0,0,0,14.518,0,100,0,100,10,10,,,,,,,,,,,,,,,1,1,20,70,60,1,,49,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:08:24,2023-04-06 16:11:35,0,74.96.170.129,100,190,1,2023-04-06 16:11:35,R_3HS9NWjT5wnIHQz,,,,,38.9637,-77.6099,anonymous,EN,1,2,2,1.851,2.523,18.645,2,3.804,3.804,14.532,1,100,65,100,100,100,,,,,,,,,,,,,,,1,1,15,6,18,2,,29,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:06:26,2023-04-06 16:11:46,0,74.138.4.113,100,319,1,2023-04-06 16:11:46,R_3G6yULfrkpFwPqe,,,,,38.2345,-85.7236,anonymous,EN,1,2,2,0,0,43.647,0,0,0,20.322,0,100,0,100,10,0,,,,,,,,,,,,,,,1,1,25,90,0,2,,69,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 16:07:58,2023-04-06 16:11:49,0,74.209.19.37,100,230,1,2023-04-06 16:11:49,R_1I4rY80kBIIMSA2,,,,,42.2383,-79.4233,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,27.212,0,11.572,11.572,12.03,1,100,0,20,100,10,10,2,1,50,90,0,1,,49,8,Associates,FL_40,,,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
